EventName,DisasterType,City,Latitude,Longitude,Year,Fatalities,Injuries,InsuredCostMillions,Month,State
Cyclone Debbie,Cyclone,Airlie Beach,-19.936039,149.066548,28,10,,,3,Queensland
Cyclone Marcia,Cyclone,Shoalwater Bay,-22.368656,150.225582,15,,,404000000,2,Western Australia
Cyclone Oswald,Cyclone,Cape York Peninsula,-13.534104,142.258198,21,6,,1100000000,1,Western Australia
Cyclone Yasi,Cyclone,"Ayr , Cairns , Townsville",-18.586959,146.652665,2,1,,1405000000,2,Queensland
Cyclone George,Cyclone,Port Hedland,-20.431225,118.544798,3,3,,8000000,3,Western Australia
Cyclone Larry,Cyclone,Cairns,-16.987637,145.855657,20,,,540000000,3,Queensland
Cyclone Tessi,Cyclone,Townsville,-19.341045,146.958954,2,,,15000000,4,Queensland
Cyclone Steve,Cyclone,Cairns,-16.890787,145.718968,27,1,,11000000,2,Queensland
Cyclone Vance,Cyclone,"Dampier , Exmouth Gulf , Port Hedland",-21.088611,116.537335,18,,,35000000,3,Western Australia
Cyclone Justin,Cyclone,"Cairns , Townsville",-18.201991,146.212139,6,2,,,3,Queensland
Cyclone Bobby,Cyclone,Dampier,-20.802031,116.701293,24,8,,11000000,2,Western Australia
Cyclone Rewa,Cyclone,Brisbane,-27.302276,152.983492,31,4,,,12,Western Australia
Cyclone Nancy,Cyclone,"Brisbane , Lismore (QLD)",-28.087412,153.138568,3,6,,33000000,2,Queensland
Cyclone Aivu,Cyclone,"Brisbane , Lismore (QLD) , Mackay , Rockhampton , Lismore (NSW)",-26.256918,152.075707,4,3,,26000000,4,New South Wales
Cyclone Herbie,Cyclone,Dampier,-20.684852,116.747869,21,,,20000000,5,Western Australia
Cyclone Winifred,Cyclone,Cairns,-16.776411,145.544381,27,3,,40000000,1,Queensland
Cyclone Hazel,Cyclone,Carnarvon,-24.728989,113.848111,1,15,,15000000,3,Western Australia
Cyclone Alby,Cyclone,Perth,-32.022535,115.742871,27,5,,13000000,3,Western Australia
Cyclone Joan,Cyclone,Port Hedland,-20.276099,118.262068,8,,,20000000,12,Western Australia
Cyclone Tracy,Cyclone,Darwin,-12.044989,131.25964,25,71,,200000000,12,Northern Territory
Cyclone Emily,Cyclone,"Bundaberg , Rockhampton",-23.960965,151.325194,27,8,,,3,Queensland
Cyclone Althea,Cyclone,Townsville,-19.247742,146.834941,24,3,,25000000,12,Queensland
Cyclone Ada,Cyclone,Mackay,-21.115675,149.163786,17,14,,12000000,1,Queensland
Cyclone Audrey,Cyclone,Coburg Peninsula,-11.631458,132.479845,28,4,,,2,Northern Territory
Cyclone Glenda,Cyclone,Brisbane,-27.321062,152.892826,2,6,,,4,New South Wales
Cyclone Agnes,Cyclone,Cairns,-16.812407,145.696323,6,4,,,3,Queensland
Cyclone - Mackay,Cyclone,Mackay,-21.1411,149.186,7,8,,,3,Queensland
Cyclone - The Great Gold coast cyclone Southern Queensland and Northern New South Wales,Cyclone,"Brisbane , Lismore (QLD)",-28.078422,152.975059,19,26,,,2,New South Wales
Cyclone - TC119 Coastal Queensland and New South Wales,Cyclone,"Brisbane , Cairns , Sydney",-26.127178,150.11717,16,7,,,1,New South Wales
Cyclone - Rockhampton,Cyclone,"Bundaberg , Rockhampton",-24.122628,151.429045,2,4,,,3,Queensland
Cyclone - Cape York and Townsville,Cyclone,"Cairns , Townsville",-18.062813,146.236578,12,75,,,3,Queensland
Cyclone - Innisfail ,Cyclone,Cairns,-16.9186,145.778,10,37,,,3,Queensland
